collection	playlist_id	notes
digha-nikaya	PLU4yfURMbbTmRF1m6D8u92TR4jxTh1CuT	Digha Nikaya
majjhima-nikaya	PLU4yfURMbbTksPHa8SS8gL1j4uTzzRu7_	Majjhima Nikaya
samyutta-nikaya	PLU4yfURMbbTkJ2w9dlwJJ9w9j2CyqqAsJ	Samyutta Nikaya main
samyutta-nikaya-temporary	PLU4yfURMbbTky437Fy-CrBOSvoMbP7y0s	Samyutta Nikaya temporary selected SN 12+
anguttara-nikaya	PLU4yfURMbbTlNlt4xifBEAfCe3Es93yI4	Anguttara Nikaya
dhammapada-verses	PLU4yfURMbbTnMKwI4oY_Q6f6l7qNvkYJ_	Dhammapada verse-level playlist
dhammapada-chapters	PLU4yfURMbbTk3Kr8QKTX3qBHK58kP2FWO	Dhammapada chapter audiobook playlist
udana-itivuttaka	PLU4yfURMbbTnV78vAQu0EWgU484MRUkws	Udana and Itivuttaka
sutta-nipata	PLU4yfURMbbTltsXSr0FevEQ6u85QFb3Cb	Sutta Nipata
theragatha	PLU4yfURMbbTlqHBM7NntcvPDvwoDWK3Or	Theragatha
therigatha	PLU4yfURMbbTn6Eu_QTH7lDNhuFf6wix8h	Therigatha
