canonical_id	status	collection_path	pdf_path	txt_path	pdf_bytes	txt_chars	text_extractor	pdf_sha256	source_url	label	page_url	error
MN 22	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn22/mn22.pdf	majjhima-nikaya/mn22/mn22.txt	384660	60332	pymupdf	c631e7b234caba73be24af458155a67896b307e7e234d1e2868d7f5c779eba93	https://www.mindreleased.com/s/MN-22-Alagaddpama-Sutta.pdf	Alagaddūpama Sutta (The Simile of ‘Handling the Venomous Water-Snake’) MN22	https://www.mindreleased.com/pali-suttas	
AN 10.20	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an10-20/an10-20.pdf	anguttara-nikaya/an10-20/an10-20.txt	227617	7196	pymupdf	74782dde42fc0daaff7e947ba6d97d7476ac72e298875cf1351a8cdf49153bf5	https://www.mindreleased.com/s/AN-1020-Dutiya-Ariyvsa-Sutta.pdf	Dutiya Ariyāvāsa Sutta (Dispositions of the Noble Ones – Part 2) AN 10.20	https://www.mindreleased.com/pali-suttas	
SN 12.70	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn12-70/sn12-70.pdf	samyutta-nikaya/sn12-70/sn12-70.txt	320331	34984	pymupdf	53b909dd679d0267bb16debbd3f5c4da2c3334a2595225e0f0979475cd020396	https://www.mindreleased.com/s/SN-1270-Susima-Paribbjaka-Sutta.pdf	Susīma Paribbājaka Sutta (The Wandering Ascetic Susīma) SN 12.70	https://www.mindreleased.com/pali-suttas	
DN 11	TEXT_EXTRACTED	digha-nikaya	digha-nikaya/dn11/dn11.pdf	digha-nikaya/dn11/dn11.txt	606883	97154	pymupdf	3030ff2bf09f9ecf7f81f43d362804b7b503c3003bcfaf9f876388b7865f5b2c	https://www.mindreleased.com/s/DN-11-Kevaha-Sutta.pdf	Kevaḍḍha (Kevaṭṭa) Sutta (Discourse to the Householder Kevaḍḍha) DN 11	https://www.mindreleased.com/pali-suttas	
SN 22.7	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn22-07/sn22-07.pdf	samyutta-nikaya/sn22-07/sn22-07.txt	278911	18118	pymupdf	3ff94df064dd81c947359006f0b90270a11ec72361eaaeeca746a2f769b70d8d	https://www.mindreleased.com/s/SN-227-Updparitassan-Sutta.pdf	Paṭhama Upādāparitassanā Sutta (Tenacious Grabbing Agitates the Heart - Part 1) SN 22.7	https://www.mindreleased.com/pali-suttas	
AN 10.2	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an10-02/an10-02.pdf	anguttara-nikaya/an10-02/an10-02.txt	183400	4259	pymupdf	72cfa223a2bdb3ed253aa2d82a9507bb0b309c790c19df1848775faa20ec4be2	https://www.mindreleased.com/s/AN-102-Cetankara-Sutta-2bw9.pdf	Cetanākaraṇī Sutta (Not Needing the Intention) AN 10.2	https://www.mindreleased.com/pali-suttas	
AN 5.100	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an05-100/an05-100.pdf	anguttara-nikaya/an05-100/an05-100.txt	242159	10996	pymupdf	a27c4ca8489b5de5238df3852551d9bf9d994e55ab9ff85ab45ec3bfe08abccc	https://www.mindreleased.com/s/AN-5100-Kakudha-Sutta-2.pdf	Kakudha Sutta (With the Deva, Kakudha) AN 5.100	https://www.mindreleased.com/pali-suttas	
SN 22.6	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn22-06/sn22-06.pdf	samyutta-nikaya/sn22-06/sn22-06.txt	251833	14273	pymupdf	b0333bfa33d3781c2d3791a66f8274172302164ee365a2f50b110c6357a6b381	https://www.mindreleased.com/s/SN-226-Paisalla-Sutta.pdf	Paṭisallāṇa Sutta (Retreat into Seclusion) SN 22.6	https://www.mindreleased.com/pali-suttas	
AN 3.60	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an03-60/an03-60.pdf	anguttara-nikaya/an03-60/an03-60.txt	316765	23374	pymupdf	97cb572de3f3f24d4abf7063932224a8400774e81212a2150893dd1cd239cd0a	https://www.mindreleased.com/s/AN-360-Sagrava-Sutta.pdf	Saṅgārava Sutta (Discourse to Saṅgārava) AN 3.60	https://www.mindreleased.com/pali-suttas	
DN 2	TEXT_EXTRACTED	digha-nikaya	digha-nikaya/dn02/dn02.pdf	digha-nikaya/dn02/dn02.txt	681843	137585	pymupdf	5ec759fa976c6de4ba4ec348c3232471b5c959ea89a0a6967751cce3466c00b7	https://www.mindreleased.com/s/DN-2-Smaaphala-Sutta.pdf	Sāmaññaphala Sutta (Fruits Gained by Truly Living the Life of a Recluse) DN 2	https://www.mindreleased.com/pali-suttas	
